"If yes, please explain ",Why are you interested in becoming an ECE Alumni Mentor?,"Please talk about your professional experiences - field of interest, previous jobs or career changes, etc. ","Tell us a little bit about yourself - personal interests, hobbies, family, etc. "
,"I want to transfer some of my knowledge and industry experience to students and help them transition from school to the industry. During my graduate students years, I used to enjoy every teaching experience. ","I have experience working with chip design, machine learning, and algorithms implementation in VHDL/Verilog. At my current job, I work with Electronic Design Automation focusing on physical verification. ",Two things I enjoy doing when I am not working are cycling and cooking. I spend multiple hours a week training to do a few bike races a year.
,,,
"I've worked with undergraduate students at both Duke and NCSU mentoring them in their own specific research projects (2 students while at NCSU so far 2 at Duke). 

When I was in my senior year of undergrad, I was part of a mentorship program with Caterpillar but it fell through when I decided on graduate school. 

I did a PhD and postdoc which had apprenticeship-like mentorship components by my advisors. ",My postdoc advisor (Dr. G Allan Johnson) was especially helpful during the time I was figuring out what I was going to do with my PhD after school and the whole training to become more statically minded. I've really enjoyed the opportunity to work with students both at Duke and NCSU.  I would love to be able to help a student in a similar way that is not directly working with them for research tasks (which was mainly what I had done in the past).,"I was really uncertain what I major I wanted when I first started in undergraduate for engineering. Engineering wise, I was between biomedical/electrical/civil as possible options when I applied. I started during the Great Recession which made the idea of doing something related to the housing industry scary. I doubted at the time I would be able to get into the biomedical program with how exclusive it was and thought electrical while it didn't have biology would cover similar areas with more generality. Initially after a convocation major information event, I wanted to do electrical engineering focused in power because the renewables concentration was very new and I liked environmental causes. But once I took the power class, it was not of interest.  

I found the E&M courses in undergrad. I did research in my undergraduate in an optics lab (ie E&M you can see) for Dr. Escuti (no longer at NC State now at Meta) who later became my graduate advisor. I worked for years as a graduate student making polarization optics components (color filters/lenses etc with liquid crystals) for various collaborators at NC State (like Dr. Kudenov), within the US, and abroad who had specialized imaging requirements.

After my PhD,  I was burned out and didn't think I could move to the west coast (where the majority of jobs for optics seemed to be at the time) for a variety of personal reasons. I applied to an imaging postdoc at Duke (as I've always been into biomedical or human centered imaging tasks) who passed my resume on to my current boss who does pre-clinical super high resolution MRI and compares it to light sheet microscopy results in an ex-vivo mouse model. He needed someone to do the statistical analysis of the MRI contrasts obtained, so I retrained to learn about statistical approaches and techniques. 

Rather than do the typical postdoc path towards academia (and leading my own lab), I've taken an approach to become a staff researcher. I became full-time staff at Duke University Medical Center in December 2021. I get to do day to day science figuring out how the brains of these mice are effected by the various diseases, and just process of aging, that they are subjected to which hopefully can inform next-generation clinical investigations. ","I'm a single female. I'm a native to the triangle; growing up in Apex and attending public schools in Wake County before going to NC State. My immediate family (mom, dad -- retired telecommunications engineer, and older brother -- network engineer for banking corporation) live nearby. My dad and brother were both also trained as electrical engineers. Extended family is mainly from rural southwest Michigan. 

Hobbies: Cooking, Coffee, Handicrafts (sewing, knitting, crochet), home repair (my dad and I are doing DIY updates to an older townhome I bought last year), and raising guinea pigs. "
Mentor to several interns and junior engineers at companies I've worked at over the last 23 years. ,"I'm looking to connect with the current student population and give them a view from the other side of graduation, to be a sounding board for their ideas, and to just meet up and have a cup of coffee to let them know that the Pack sticks together.","I've worked in ASIC verification and validation for the past 24 years, with experience ranging from pre-silicon design verification on designs up to 80 Billion Transistors to post-silicon validation and design test in a lab-based environment. I'm currently a senior ASIC verification engineer for NVIDIA, where I've worked since 2019. Prior to that, I have worked at Intel, AMD, Hewlett-Packard (now Hewlett-Packard Enterprise), Compaq, and Lockheed Martin. I've worked in several regions around the country, from New Jersey to Houston to Austin to Portland and now back to the Raleigh-Durham area. ","My wife and I have a precocious 5 year old girl and a grumpy 9 year old dog. I enjoy cooking, retro video games, board gaming, and relaxing with a crossword puzzle or book in a coffee shop. "
Mentored many junior engineers and interns in the industry,Connecting with the NCSU students and preparing them for industry ,"2013-2018: Lead engineer, GE 
2018-2022: Manager/Senior manager/Head of engineering, Carrier Corporation 
2022-Now: Director of engineering, Lunar Energy ","I am a passionate volunteer of IEEE as an industry expert and I spend quite a bit of my after work hours on it. I also play soccer regularly! I am a father of two lovely kids and we live in Cupertino, CA! "
,"I want to connect more Taiwanese/Chinese NCSU students, sharing my experience about how I fit in US culture as a Taiwanese.","I currently work as full time design verification engineer, have three intern experience(verification/ASIC design/Firmware validation).","hiking, Asian cuisine, comics"
I've had an NCSU mentor before,Give back,"Chief Product Officer, Enterprise Software","Married with 3 kids, I enjoy photography, traveling, good food & good company"
I've mentored many people including transitioning military officers going into sales through TechQual.,Always good to give back.  Had many mentors to help me get to where I am professionally.,Most professional experience in the sales and executive roles.  Currently executive at tech company.,"Sports, golf, traveling"
,I would like to use my experience to guide the next generation of engineers.,"I have had silicon development leadership roles at several companies such as Integrated Device Technology, Synaptics and AMD. I have led global teams and have end-end experience in development of semiconductors.",I live in the San Francisco bay area. My kids are now in college. I am deeply interested in semiconductor technology trends and have a passion to help continue the success that the US has had over the past few decades.
Mentored my juniors from undergrad for interview prep and ECE subject matter.,I'm motivated to give back to NC State since I owe a lot to the professors and the institution. ,"Computer Architecture, Operating Systems, Performance Modelling. ",I play guitar in my spare time. 
I currently mentor new college graduates that have joined Microchip,I want to provide insight to ECE students about the electronics industry and opportunities available.,"I was a design engineer for 10 years and 5 of those at a start-up company designing products for Apple computers.  Then I moved in to sales selling electronics at a manufacturing rep firm working with companies like AMD, TI, Linear Technology.  Now I work for Microchip managing a team of 12 FAE supporting customers on the east coast.","I have two married daughters (one that graduated from NC State).  We (my wife and I)enjoy hiking, especially in the mountains.  We also spend our weekends riding bikes on local trails.  We also spend a lot of time walking and playing with our golden retriever."
I am the active Chapter Advisor for NC State IEEE HKN Beta Eta Chapter. Former Engineering Village Mentor for the NC State Living and Learning Community. ,I enjoy getting to help others grow as an engineer and develop professionally. In my previosu experience of mentoring students I have found it a joy to continue to grow as a leader and share my experiences like my mentors have helped me.,"Overall, my professional interests lie in Software engineer, Software and Network Security , Cloud Technologies, and Agile Project Management.

Formally Trained as a software engineer focusing on how software is used in networking and security applications in my time at NC State. While at NC State I held 3 internships as both a Graduate and Undergraduate student. One was an embedded/software testing internship with Plexus working on a robotical surgical system. The other two were with NetApp devloping tools such as a language parser to help diagnose problems withing cloud systems. Also while at NC state I was a Makerspace Student Ambassador where I worked to maintain the libraries fleet of 3D printers, Laser Cutter, and Raspberry Pi's. In the makerspace I also consulted with students faculty and staff around campus to provide them with the engineering knowledge they needed to complete their research or projects. 

At my current role At Lockheed martin I have worked on two teams. The first, created a software microservice biased for a Nation State secure satellite communication system. I was in charge of developing backend rest endpoints. As well as doing security sys admin work to configure firewalls and other network security measure across our servers. The second project I worked on is with the Human spaceflight devison working on software tools to build the NASA Class A flight software for the ORION capsule used in the Artemis lunar missions. On this project I audit and verify code for defects in flight software as well as devlope full stack solutions that allow other engineers to more easily meet requirements.

Besides work, I was inducted into NC State's Beta Eta chapter of IEEE Eta Kappa Nu in 2018. I Have been an active member of the organization since then, serving first as chapter advisor then as chapter president. Now as an alumni I serve as the chapter advisor and still mentor chapter leaders to this day.","Outside of my academic and profession pursuits, I have many hobbies such as Sailing, Scuba Diving, Golfing, and Woodworking.

I learned to sail by being a member of the NC State Sailing Club throughout my time as an undergrad and have continued they hobby of sailboat racing into my adult life.

I also learned to dive through the NC State Aquatics program where I got certified up to be a recreational rescue diver and continue as a volunteer with the program twice a year as an safter diver. Some of my favorite diving has been in St.Croix and the FL Keys.

I learned to woodwork from helping my father growing up in his woodshop, and love to use my skills as a woodwork to build furniture for my apartment or gifts for friends. 

Outside of my Hobbies I am a big fan of Ice Hockey(Which I played growing up) and love to watch the hurricanes. I also love to watch the Wolfpack on Saturdays in the fall and always try to make it to at least one home football game a year.  When I get the chance, I love to travel; my trips to Italy and Alaska have been some of my favorite. I also love food weather thats cooking a great meal or trying a new restaurant in the city."
Was part of college association in undergrad where I worked as mentor to help students navigate through the course and college placement. Also was a mentee couple of years back.,Yes,My interest mostly aligns in CPU power management and performance. I also worked as SoC design engineer for 3 years giving a lot of exposure to top level SoC operations.,I am a big fan of soccer and formula 1. I am learning to play acoustic guitar and also play piano. I have an resolution of doing atleast 2 hikes every month since I have moved to California and haven't missed on that goal yet.
Mentor Interns and New Engineers at Work,Giving Back to community,Power Systems Engineer. Experienced with renewable projects  and utility projects. I have worked in Consulting roles. I am currently a design engineer. ,"Just to be specific - I am a female engineer! I am married and we have two cats. I enjoy traveling, hiking, and playing tabletop games. "
I multiple mentorship experiences from my time in the US Army to my current role as a senior engineer working with several new grad engineers in our company. I have also worked with college interns almost every year over the past 10 years. ,I enjoyed the impact I made as a graduate student TA in undergrad classes and continue to enjoy interacting with and supporting up and coming students and engineers. ,"I am primarily an RF engineer and have multiple experiences in that field. I worked for a number of years in the transceiver group for Analog Devices in Raleigh. Since then, I worked at Sandia National Labs as a project lead on programs for the multiple agencies in both the Dept. of Energy and the Dept. of Defense. ","I am married with 2 children (13 and 6). My wife is an artist. I'm an avid outdoorsman - backpacking, fishing, paddling. I am an endurance runner and have competed in races ranging from a 5K up to 50 miles. "
Individually:  informally with direct reports and co-workers. Enterprise: prior mentor for the Council for Entrepreneurship Development (CED) Venture Mentor Program,I saw the outreach in the recent alumni newsletter. Seemed mutually interesting and I am in Raleigh. ,"Engineer, Product Manager, Services PreSales Solutioning/Delivery Leader - mostly in telecommunications or the broader information and communications technology (ICT) industry    https://www.linkedin.com/in/postontodd/
","Married. Father of two adult children. Grew up in Greensboro, NC. First generation college graduate in our family. Hobbies include watching ACC/NCAA basketball (I was a senior in '83...), going to the NCSU gym (alumni membership), walking our rescue foxhound, and traveling to total eclipses of the sun. "
"Various @IBM, non-profits",Yes,Information Security ,"Government Excellence, Health for All, Boy Scouts, Family activities "
"I have been both a formal and informal mentor at Accenture, Bank of America and KPMG LLP.  In addition, I have been a mentor to several others who I have met over the years.","As my career has progressed, I've found mentors very helpful to be able to speak with and discuss ideas and challenges.  I'm happy to be able to play that role for others, especially those from NCSU.","I have been a consultant for the majority of my career.  In that career, I've been challenged by working in various industries, with various clients, solving various business problems.  I've also spent part of my career working directly in the financial services industry focused on cost reduction, process improvement and overall simplification.  For more, please feel free to see my Linked In page at LinkedIn.com/in/jimodell3.","I've been married to my wife, also an NCSU ECE graduate, for 23 years.  We have three wonderful daughters, two in high school and one in middle school.  During normal years, we enjoy traveling and spending time with family and friends.  I am also an avid golfer and enjoy spending time outdoors."
,Give back to the next generation of students and NC State,"32 years with AT&T as a systems engineer, exploratory development lead, and intellectual property executive. Inventor on 200+ patents. Led the creation of a company-wide innovation crowdsourcing program at AT&T. Currently do part-time consulting work in innovation and intellectual property strategy and patent acquisition.",Enjoy family togetherness and travel - one daughter is a recent Penn State grad and on her own job search journey. Volunteering interests include coaching youth sports and helping at a local animal shelter and wild animal rescue.
,I started my Master's in Computer Engineering where I felt so supported by the career counselors and it feels this is the right time to give back to the community and help them in any way I can.,"I pursued my Bachelor's in Electronics and Communications Engineering, after which I worked for Xilinx Inc. and then moved to U.S to further pursue Master's in Computer Engineering. During my master's, I was quite interested in knowing more about Data Structures and Algorithms and after that course I felt quite inclined towards Computer Science but it was also intimidating as I would be new to it but I took a leap of faith and changed my Master's to Computer Science. Currently, I work as a Software Developer at HPE, which I feel is a great place for me as I'm surrounded by such brilliant and supportive people.","I like to hike, dance, and cook in my free time. I am a big foodie so I believe good food = good mood."
,To contribute to the institute and build a network with Juniors,I am interested in Functional Verification and application of Machine learning models to improve it,"I am a passionate Engineer striving hard to develop my knowledge about the semiconductor industry. I contribute my time to physical activities like playing Badminton, Swimming and exploring National and State Parks across the country."
,"As a former international undergraduate student in ECE at NCSU, I understand the value of guidance in navigating an academic career path, something I lacked at the time. Despite this, I managed to forge my own path, leading to my current faculty position at a prestigious university and being honored in Forbes 30 under 30 in 2024. I'm eager to share my experiences and insights with international students who are interested, helping them find more direct routes to success.","I earned my B.Sc. from NCSU in 2017, followed by my M.Sc. and Ph.D. from Johns Hopkins University in 2019 and 2022, respectively. Subsequently, I joined the faculty in the Department of Radiology at the School of Medicine at Johns Hopkins University.","I've been happily married to the love of my life since 2020, whom I met at NCSU while she was a student in the School of Management. Together, we enjoy outdoor activities such as hiking and camping. We also have an adorable French Bulldog named Pie. While I used to be a fan of video games, my time for gaming has diminished since graduation."
,"Mentoring is a skill that involves empathy, patience and ability to communicate clearly. I believe I have those qualities and this opportunity will give me a chance to contribute back to the welfare for Wolfpack Community.",My professional Experience Can Be Found on LinkedIn : https://www.linkedin.com/in/mihir-manoj-joshi?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app ,"3 Member Family
Origin is from India (Mumbai City)
Personal Interests/ Hobbies - Socially I like to Travel, Run And Lift Weights and Play Chess. In my me team I like reading non-fiction books and gardening."
"Mentored within team, as alumni to juniors in undergrad at VTU","I love to see others grow, guide them. Some people are always looking for directions. I can be of help.","Electronics engineering, Semiconductor, Analog mixed signal,
here is my blog on mixed signal roadmap for newbees....
https://abklabs.blogspot.com/2023/12/mixed-signal-road-map.html
","travel, music, big mountains, oceans, i am lucky to have twins.. "
I mentored highschool students before when I was in my undergraduate degree back in India,I believe a mentor could help guide students throughout their journey of finding right jobs and also any challenges that they might face be it related to their studies or their job search. A mentor could be a great point of contact in the semiconductor industry for students to know about the current technologies used in the industry and also the skills required to secure a job. A mentor could also provide students with internship/job referals for students which I believe are a great way to get interview calls. These are alp the reasons and ways I could help students being their mentor and I am more than willing to do that and help a student.,"My primary interest lies in working in the physical design domain( Layouts, PNR, STA) , I am still at the beginning stages of my career but few years down the line I would like to be an experienced physical design engineer and I would also like to have some patents under my name. I also did my internship as a Physical Design Intern at arm and a co-op in AMD as an RTL design engineer so I could say I worked in both front end and back end VLSI roles and ultimately joined fulltime at Intel as a Physical Design Engineer. ","I come from India specifically from a South Indian state called Andhra Pradesh. I speak three languages Telugu, English and Hindi. I enjoy watching movies and I travel a lot. I also like to play cricket and badminton."
,I would like to give back to NC State community and help students in their career growth,"My main field of interest computer architecture, CPUs, GPUs, operating systems, performance modeling. I have over 6 years of work experience in this field. I have worked with Nvidia and Qualcomm.","Movies, hiking, badminton, ping pong, cricket"
"I have done some light mentoring in my current job for technical topics, and also was a Mentee in a company mentorship program.",It would be nice to connect and help with other NCSU graduates. ,"I have been working as a design verification engineer for the past 12 years since graduating, and have switched companies 4 times. Interested in ASICs and AI.","I have a rescue dog, a cattle dog mix, whom I love adventuring with. I love reading fiction, and also finished writing my own fiction novel last year."
,"I never had the fortune to be mentored by someone in the industry during my undergraduate and graduate programs. Only when I entered the industry did I have a mentor and it was very rewarding. I believe after 6+ years of working in the industry it’s time for me to start giving back what I learnt and received, and what better place to start at than the school that gave me the skills to be where I am today! ",Growing up I was always fascinated by computers and how a small motherboard could process all the video games I used to play. I took that up as a profession and now work towards building similar chips that process a lot more data in a data center. I worked my way up by initial working on IP verification for the first 3 years at Juniper Networks. It helped me gain the depth I needed to excel in this field and then moved to Marvell Semiconductors to build a chip from top to bottom. I work in the SoC Verification team that builds chips for data center and automotive applications now.,"I love sports, both watching it and playing it. During my free time I’m either playing soccer or watching it. In my free time I also like reading or learning something that is completely unrelated to my field, like construction or cooking. During the weekends you would find me socializing with friends and family over a movie or a board game or planning a Europe trip that I hopefully take one day. "
,"I wanted to guide current students, also wanted to help them so that they feel more confident and may be they can learn from my mistakes and create a better path for themselves.","I have been working in semiconductor industry before coming for my masters, and I'm still working as a backend design engineer. I'm particularly interested in computer Architecture and accelerator architecture.","I'm interested in electronics in general, I like tiny objects that makes our life a lot easier. While I was in my undergrad, I use to take up projects just for the satisfaction of completing and seeing my DIY works. "
I am currently a manager at my company and have been mentoring for a few years ,I strongly feel that the students shape the future and are vital for a growth of industry. ,"After completing my Masters, I have been in Qualcomm, Oracle and now at Arm. I have always been focussed on ASIC Design and Verification and now focussing on the CPU Verification.",I love traveling along with my family ( wife and twin daughters) and love to try new stuff. 
,I would be glad if I could be of any help to any current ECE grad student looking for a design verification role. ,I have professional experience and my field of interest is design verification,"I’m into fitness. I have recently started kickboxing during my free time. I’m from India, moved to US for my masters in Aug 2021. I have a brother who also works in US. I currently work for Apple as a design verification engineer. Prior to my MS, I worked as a design verification engineer for Microchip Technology for two years in India"
,To help students get a better idea of the current industry,Design verification engineer mainly focused on CPU verification for server class ARM and RISCV processors,"I live in Bay area with my husband and my toddler. Originally from India. I like to read/listen to books, paint and cook. "
,To provide students insights into what life after college is like,"Experience working in Environmental Services, Semiconductor, FinTech, and Utility industries; went back for my MS and obtained it 15 years after having obtained BS degrees; as a graduate student, did research with EDA and CAD tools","Interests include playing guitar, programming, mathematics"
,"Would love to connect with students, offer advice about industry trends and various paths available for a career in the semiconductor industry!",Worked at Synopsys straight out of NC State (landed the job via the career fair!) in the field of semiconductor design automation. I work in our EDA group and primarily work on circuit physical verification and reliability checking. My job includes product and people mgmt and nearly daily interactions with customers. This puts me in a unique position to understand industry trends and help guide young professionals looking to make their way in semiconductors. I really enjoy working with others and helping influence little decisions that can have big impact on careers and lives. ,"Enjoy spending time with family, have a little one at home that will soon turn 1! When we get a bit of downtime, I enjoy playing video games. Before our daughter came in our lives,  we enjoyed traveling, hiking trails around RTP, brewery hopping, and binging on shows!"
,"Interviews are the process of applying for jobs is tricky and it is better to have guidance in this process, the ECE career development center has helped me draft the perfect resume and also helped me negotiate the offer. If I become an ECE Alumni mentor, I can help my mentee in understanding how the interview process works and also what questions to expect in the interviews, with a little knowledge and a tiny bit of experience giving the interviews, I want to help the ECE career development center.","I previously worked as an embedded software engineer back in India for almost 1.5 years, I was always interested in VLSI design and Verification, so, I decided to pursue my master's at NCSU, After coming to the US, I did two internships one with Microsoft and the other with AMD and I was able to convert my Microsoft internship to a full time position. I am about to start as a Silicon Engineer at Microsoft on 29th January 2024.","I am originally from Hyderabad, India. I moved to the US in December 2021 to pursue my master's. My hobbies include playing badminton, watching movies and I am a Tech and car aficionado."
,to help out new graduates navigate the challenges that they might be facing balancing coursework and job search,"Started working at Synopsys as an Applications Engineer right after graduation, but got bored supporting a client and decided to move fields so I joined Intel as a Firmware validation engineer working on pre-silicon FW","I like playing sports, being outdoors, reading books and trying to gain financial literacy"
,Wish to give back to the University Program and help a colleague gain Industry level perspective on what can get them hired and stand out.,"5 YoE, field of Interest: GPU/Parallel Computing/SoC Design. Career change from Performance Modelling to Power Architecture. Lead PoC on VMM Performance Models 
Skilled in Hardware Software Codesign","Personal Interests: Reading, running, Badminton. Recently married "
At Intel,Giving it back to community,Graphics,Movies...carrom.. photographer 
,NC state was extremely helpful in providing me with the right skillsets to succeed in the industry . The connections I made with some of the alumni - and their inputs was instrumental for my development . I would like to do the same for others now - maybe my experience could help someone else on their career . ,"Fields of interest -
Computer architecture 
Firmware 

Have been working as an SOC DV Engineer for Apple Inc. since 5+ years . This was my first job after graduating from NC. Have gained considerable experience in designing test environments and verification methodology / strategy . 
Have previous experience in working in the embedded domain in India .","Beginner piano player
Trail biking and hiking 
Board games
Video games 
"
Intern mentor at work,Yes,"I am a digital design engineer with 10 years of experience. I've worked primarily designing video and computer vision chips, as well as some machine learning accelerators. I've worked on consumer devices and, more recently, data center servers. I'm passionate about helping junior engineers in the ASIC space, as it can be pretty difficult to navigate. We do not have accesss to as many resources as software engineers, and the industry can seem siloed and intimidating for a newcomer. I'm particulalry interested in helping engineers from underepresented communities.","My wife and I (both NCSU grads!) moved to California after graduating. We visit NC often as we have family there. In the Bay, we enjoy hopping around coffee shops and restaurants, and hanging out with friends."
"Mentored 2 interns, each for 12 weeks - one at my previous employer Seagate Technology and one with my current employer Microsoft. You can find their recommendations on my LinkedIn: https://www.linkedin.com/in/jay16udani/","Having previously mentored, it is really satisfying to see the impact I might have on someone and help them grow in their field.","Fields of Interest - Computer Architecture, Embedded Systems, Operating Systems.

Previous Job:
Seagate Technology - 2018-2022 - Senior Firmware Engineer

Current Job:
Microsoft Corporation - 2022- Current. SDE 2 - Silicon Modelling and Firmware Developer","I did my Bachelors in Electronics and Telecommunication from Mumbai, India and pursued my Masters at NC State right away after that. 
I am married and my wife is a PM at a Fintech. I absolutely love exploring America's NPs and hiking to some extent. I am in love with the PNW! 
I like reading, watching cricket, hitting the gym and playing racquetball."
I was mentored by an ECE alumni working in Cisco. She doesn't work in my area of interest so she could help only to a limit. ,I think there were not much Machine learning/Computer Vision mentor when I was mentee. I would like to help students in the field and get their foot through the door. ,I am in Computer vision field working at SAS. I am interested in NLP as well. Before masters I had worked as controls engineer and changed my career path after masters. ,"I am from India, I love hiking/gardening and cooking. "
