"If yes, please explain ",Why are you interested in becoming an ECE Alumni Mentor?,"Please talk about your professional experiences - field of interest, previous jobs or career changes, etc. ","Tell us a little bit about yourself - personal interests, hobbies, family, etc. "
"Mentored several junior engineers/interns within my previous company that came from ECE (Sensus USA in RTP/Morrisville), worked with several ECE recent grads and helped hire a few (mainly software/ embedded device QA, products were binary messaging/radio modulations & encodings, worked with a few diff EE grads on the firmware side/ saw the process end to end from layout/ FW testing/ system testing & so on-> embedded product to market). 

Also worked the ECE Summer camp Jul’13 under Dr R. Gupta, walking highschool kids the old Carlson ECE306 project(infrared RC car tracks). Soldering, basic, testing/debugging.. 

","I remember what it felt like being stuck in school year 2-3.. without any context on what lies on the other side. It felt pretty disorienting, I nearly quit several times. I stuck with it, and found daylight on the other side. I want to reassure someone that might be near that tipping point. ECE is a tough very broad curriculum, and that it all just needs to be put into perspective. Especially with the last ~18 mo of COVID, I dont know if 2010-me would have stuck with it.. So, I’d like to lend a hand, help give someone perspective/ motivation, and do my part. 

When I have an intern, it’s not about what they can give to our company.. it’s about how I can help them grow their resume/skillset/confidence. I’m.. assuming.. that I would treat this similarly, except that I might need some additional details on the process/workflow. 

","Started off in QA automation (Sensus, 2014), C# development, embedded product testing. Verifying “smart meter” (smart grid) behaviors/ systems. Specialized on electric meters. Talking.. modulations/ bit compression / frequencies/ binary messaging protocol encoding/decoding. Automated entire lab environments using raspberry pi hosts, mobile/web automation as well.

Moved to Engineering product team May 2017, Senior Software Engineer, rewriting legacy C code into .NET/C#, again targeting binary messaging/embedded device support, but leading the customer software side. Had teammates in NC, Louisiana, Bangalore India.. got to visit them all & create/grow a team where there previously wasnt one.. Great experience

Apr 21- moved to Austin Texas / Charles Schwab doing real-time trade software (C#) but still fresh on my low-level knowledge. Started learning Rust in my spare time","Hobby software development (Rust low level, some web stuff to stay fresh.. React.JS/Node/C#), gardening (spicy peppers), disc golf (raleigh is still home to the best!), cooking/amateur chef foodie, raspberry pi projects from time to time. Family… native NC, is based in Southern Pines NC, about an hour south of Raleigh. "
"I have not had a formal mentoring experience, but I've been a mentee in my current job and also during my Masters. And I've been consciously observing the qualities/actions of my mentors that have helped me do better.","I've myself grown a lot from the help I got from my mentors, be it owning my work, or being confident about a job opportunity, or having effective communication. And I'm sure there are students going through similar experiences as mine, and I believe I'll be able to provide at least a part of help, if not all, I received from my mentors to the students who need it.","After my bachelors in Electronics and Telecomm Engg, I worked as an Embedded Hardware Engineer in India for 3.5 years where I had an opportunity to go to client location in a different country and work with them directly. Then I pursued Masters in Computer Networking, which was a very different field than my prior experience. During my Masters, I got an opportunity to be a summer intern at Facebook and then got the full-time job based on my performance during internship. As of now, my field of interest is Computer Networking and Data Center Networking, Load balancing to be very specific. I enjoy programming in C, C++ and Python.","I'm originally from Pune, India and I have my mother and a younger sister in my family. We lost my father a few years back when he had a severe heart attack. When I'm not working on some interesting networking problems, I like to read articles about personal development, productivity, mentorship, etc. I enjoy exploring various beaches and National Parks over weekends. Also I love to explore my neighborhood on an evening bicycle ride after a long day at work. I've been trying my best to create sustainable habits and lead a zero waste life. My recently discovered passion is organizing surprise events (all DIY and zero waste), I just love to work on all the tiny details and make it as personalized as possible! I love taking some time off from everything, do some thinking, try to see if what I'm doing aligns with the things that matter the most to me."
I have mentored two students at NC State,Interact and guide students,"I work in Cloud Services and Analytics, 7 years experience in Research roles. I currently work at IBM Research, Almaden",Writing tech blogs
"Mentor and former group manager at Bosch, currently lead a team of 8 at a startup I founded. Mentors have also been key to my professional development.","Mentors have shaped my professional career, so I am interested in helping the next generation and specifically interesting in helping aspiring innovators and entrepreneurs.","https://www.linkedin.com/in/ryan-meitl/

Research assistant at NC State
Internship at John Deere during MSEE
7 years at Bosch post grad
2 years at Amatis Controls
2 years at Rivet Work (company I co-founded)

Interested in tech, startups, and renewable energy.","Married 10 years, wife and I had our daughter Elayne during the lockdowns last year. Own a house near downtown Detroit. Avid cyclist, gamer, and craft beer enthusiast. Enjoy hiking and the outdoors. Own far too much technology (my attic was the company office for the first few years getting Rivet off of the ground)."
Mentoring experience as part of my current and previous job roles/employers,"It's always nice to talk to new/recent college graduates. Also, this is one way of giving back to NC State and especially the ECE department.","After graduating from State back in 2010, I got into Juniper Networks as a Verification engineer. In my 9+ year stint at Juniper, I was part of a team that successfully taped out multiple networking ASICs. Working with them gave me the experience and exposure I was looking for coming out of school. From ASIC Verification to ASIC design, to post silicon validation and bring up - I have been part of the entire ASIC design cycle. I joined Microsoft back in Fall of 2019 and currently part of this state of the art Hardware team - right here in the triangle :)","Well, I currently live in Apex, with my wife and 2 young boys. In my free time, I enjoy spending time with my family, play soccer with the boys, listening to music, and oh, how could I forget -- my XBOX! "
I was a mentee at my first job.,"When I was in school I would have loved to have someone who was a few years to help guide me through roadblocks, give advice for transitioning to the work force, and to bounce my thoughts off of.","I started in the the manufacturing, power and energy realm. Manufacturers would hire my company to help them design and automate their manufacturing lines or we would help microgrids/utility companies with switchgear control and data aggregation. I decided I didn't really like the macro scale and wanted to focus on smaller OIT like embedded systems. So, I transitioned fairly early after about 1 year and came to work at my current company where I help design the PCB's for our products and write the firmware. ","I'm a bit of a nerd. I like videogames, anime, and reading. But I do get outdoors! I also enjoy hiking, some good gym time, and the beach. My family is all spread out over the US, but my sister just started at NCSU in the Architecture program and it's nice to have her close by. I'm generally up for most anything and enjoy meeting new people."
I was a mentor to a Microsoft intern this past summer.,I have learned a great deal about the different opportunities available to new grads and would like to help students find out where in the ECE field they would like to begin their careers.,I have worked in both silicon verification and physical design. I am also interested in architecture and consumer technology.,"I enjoy swimming and biking, I love playing video games and am trying to get into photography."
N/A,"Since I just graduated, I feel like I have a good idea of how help people in the current climate.","4 summers of internships, currently have a hardware job in the semiconductor field doing digital design layout engineering. I am interested in device physics, quantum computing, fabrication, and materials science and engineering.","Hobbies include climbing, reading, and music. I am from the Triangle area and have lived here my whole life, so I have a good familiarity with the area. While at NCSU, I did the dual EE/CPE undergraduate program and the ABM to get my MS in EE. I was a member of HKN for three years, and was vice president of the chapter for two of those years. I also did research in the MSE department for five years."
na,To know the students and professors better,moved from Intel to MSFT after 5years of experience in hardware engineering RTL coding and uarch design,I love coding and hiking
I don't have previous mentoring experience with ECE alumni mentorship program,"Not so long ago I was a student at NC State and I would have really appreciated an active mentor working in the field of ECE. I think this would provide a great opportunity to mentor who is trying to navigate challenges of school, research and of acquiring an industry job.","I worked for a couple of years in India as an Electrical engineer in the automotive electronics field. And then came to NC State for my masters and PhD program mainly focusing on IC design. Since February 2020 I have been working at Microsoft locally as a circuit design engineer. My professional interests include - Analog/Mixed Signal IC design, Low power design, RFID circuits. I am also interested in intersection on machine learning and IC design.  ","My personal interests include running, cycling and reading. I like to spend my weekends exploring the mountains of NC and other nearby states."
"Shuran Zhao, with whom I continue to mentor as part of this ECE Alumni Mentor program. However, I have done lots of out STEM outreach for HS Minorities, ChickTech and my own Electronic workshop that I taught at all grade levels of K-12.","Yes...again, as it was fun!","25+ years in the electrical engineering industry with more than 15+ yeara specifically designing microprocessors and the remainder doing design of: boards, satellites, software, verification, FPGA and other ASICs.","I enjoy traveling, reading, movies, music, musicals, sports (watching and playing), dancing, clubs, meeting new people and experiencing new cultures."
N/A ,"As a student the adult world was a mystery that I would have loved having some insight into, and I’d love to share the stuff I’ve learned so far (not that I have it all figured out) ","I co-oped with Oracle on their internal cloud development team for 2 rotations. Then I interned with Plexus as a hardware engineer, and now I work with the software upgrade process for video conferencing devices. ","I’m highly involved with my family, and between them, church, friends, and working on my house my days fill up. If I’m hanging out, I love to play board games and I’m attempting disc golf, but still working on that one :) "
Mentored as part of Cisco Network Academy. Led & coached teams. Mentored students and new working professionals,"To give back to NCSU, help students from my journey and experience","Global Head & Director, Platform Partnerships @ Twilio, Alumni of Google & Cisco. I've pivoted from technical sales to business development and go-to-market focused on technology partnerships. ","Love the ocean, travel, soccer. Father & husband I'm now in Chicago but lived in Silicon Valley and Dubai. BaderHamdan.com"
NA,"Having recently graduated from NC State, I learned a lot about job interviews and I wanted to share the knowledge with the current students. In this process, I believe it would also be a good learning experience for me in mentoring students.","The job I currently have at Microsoft is my first professional experience. I am working in the field of firmware engineering where I use upon the knowledge learnt in course like Operating System, Design and Analysis of Algorithms, Microprocessor Architecture and Embedded System. ","I grew up Chennai, Tamil Nadu, in the southern part of India. Before doing my Master's degree in NC State, I finished my schooling and Bachelor's degree in Chennai. I enjoy going hiking, kayaking and running marathon. I am a casual gamer as well, my favorites include FIFA, GRID and AOE III."
N/A,Maybe,"DoD, Renewable Energy Design, BESS design, Project Engineering, EPC companies

If helpful, 
https://www.linkedin.com/in/jack-brandon-pe-pmp-87b31377/ ","Sailing, cooking, making wine, cycling, hiking"
I was a mentor at NC State for Girls Engineering Change my freshman year. I was paired with a high school student and helped them explore different engineering disciplines through labs and activities.,"This is a great opportunity that I wish I had taken advantage of in college as a mentee! As a mentor I’d be able to share my experience in college applying for internships and jobs, and things I wish I knew back then. I also like to hear about other students’ experiences especially those interested in the power industry since it’s so broad and diverse. I love the idea of being able to support a student in finding what they need or learning more about what they’d possibly be interested in for a career, or just general advice!","I’m primarily interested in the renewable energy industry. I have internship experience working at a Duke Energy nuclear plant and at the NC Clean Energy Technology Center. I also did undergraduate research with the ECE Department, and was part of ECE Ambassadors for 3 years. Currently, I’m a power systems engineer at Eaton working remotely in Raleigh (but will soon move to Maryland once the pandemic clears up).","I was born and raised in Raleigh, NC. During my free time I love doing portrait photography, spending time with my dogs and going outdoors! "
IEEE YP Try Engineering Together eMentoring,"As a PhD student, I wished I had a mentor who had gone through the process and knew what I was up against. I think I might be able to help.","RFIC/mmwave design, some analog/mixed signal experience. Currently at my first job after PhD, interned at ADI and Anokiwave during PhD. Initially wanted to continue in academia but had a change of heart during my PhD.",I am an avid reader of the fiction/fantasy genre; I enjoy the arts (painting and so on). I also find peace in gardening and yoga.
